,donor_id,donor_name,specimen_id,specimen_name,rna_well,rna_integrity_number,structure_id,structure_acronym,structure_name,rnaseq_profile_id,rnaseq_total_reads,rnaseq_percent_reads_aligned_to_mrna,rnaseq_percent_reads_aligned_to_ncrna,rnaseq_percent_reads_aligned_to_genome_only,gene_level_fpkm_file_link,anonymized_bam_file_link,anonymized_bam_index_file_link,bigwig_file_link,UID,Treatment
155,309335486,H14.09.049,309357996,H14.09.049.TCx.01,472517873,6.9,10235,TCx,temporal neocortex,496100425,41220198,30.9,6.36,49.4,/api/v2/well_known_file_download/496211673,/api/v2/well_known_file_download/501132912,/api/v2/well_known_file_download/501132910,/api/v2/well_known_file_download/501134967,049,3.0
159,309335487,H14.09.050,309358005,H14.09.050.TCx.01,472517881,6.6,10235,TCx,temporal neocortex,496100446,43535491,30.5,6.53,50.6,/api/v2/well_known_file_download/496895939,/api/v2/well_known_file_download/501901713,/api/v2/well_known_file_download/501901711,/api/v2/well_known_file_download/501902064,050,2.0
163,309335488,H14.09.051,309358014,H14.09.051.TCx.01,472517889,5.7,10235,TCx,temporal neocortex,496100451,30454817,25.4,6.06,55.2,/api/v2/well_known_file_download/496231991,/api/v2/well_known_file_download/501038812,/api/v2/well_known_file_download/501038810,/api/v2/well_known_file_download/501049922,051,3.0
167,309335489,H14.09.052,309358023,H14.09.052.TCx.01,472517897,7.9,10235,TCx,temporal neocortex,496100432,41868746,33.1,7.02,46.8,/api/v2/well_known_file_download/496214929,/api/v2/well_known_file_download/501231693,/api/v2/well_known_file_download/501231691,/api/v2/well_known_file_download/501243493,052,2.0
171,309335490,H14.09.053,309358032,H14.09.053.TCx.01,475848356,7.6,10235,TCx,temporal neocortex,496100469,11605026,31.5,6.77,50.5,/api/v2/well_known_file_download/496231113,/api/v2/well_known_file_download/500986863,/api/v2/well_known_file_download/500986861,/api/v2/well_known_file_download/500987498,053,3.0
187,309335494,H14.09.057,309358068,H14.09.057.TCx.01,475848388,6.1,10235,TCx,temporal neocortex,496100476,36028944,25.8,5.72,56.8,/api/v2/well_known_file_download/496261688,/api/v2/well_known_file_download/501025409,/api/v2/well_known_file_download/501025407,/api/v2/well_known_file_download/501056890,057,3.0
191,309335495,H14.09.058,309358078,H14.09.058.TCx.03,475848524,6.5,10235,TCx,temporal neocortex,496100493,37613275,27.5,6.48,53.6,/api/v2/well_known_file_download/496237234,/api/v2/well_known_file_download/501901621,/api/v2/well_known_file_download/501901619,/api/v2/well_known_file_download/501902165,058,2.0
199,309335497,H14.09.060,309358095,H14.09.060.TCx.01,475848540,5.6,10235,TCx,temporal neocortex,496100475,33919146,24.6,6.43,57.6,/api/v2/well_known_file_download/496232028,/api/v2/well_known_file_download/501023077,/api/v2/well_known_file_download/501023074,/api/v2/well_known_file_download/501081892,060,2.0
207,326765649,H14.09.062,327252459,H14.09.062.TCx.01,475848556,8.3,10235,TCx,temporal neocortex,496100488,35197163,34.0,7.08,48.5,/api/v2/well_known_file_download/496236703,/api/v2/well_known_file_download/501023708,/api/v2/well_known_file_download/501023702,/api/v2/well_known_file_download/501056732,062,2.0
232,326765656,H14.09.069,327252518,H14.09.069.TCx.01,477135250,6.9,10235,TCx,temporal neocortex,496100513,34586693,28.1,6.32,50.3,/api/v2/well_known_file_download/496236381,/api/v2/well_known_file_download/501901074,/api/v2/well_known_file_download/501901072,/api/v2/well_known_file_download/501901735,069,3.0
236,326765657,H14.09.070,327252527,H14.09.070.TCx.03,477135259,7.7,10235,TCx,temporal neocortex,496100517,33037126,30.8,6.7,47.4,/api/v2/well_known_file_download/496256562,/api/v2/well_known_file_download/501179887,/api/v2/well_known_file_download/501179885,/api/v2/well_known_file_download/501181819,070,2.0
244,326765659,H14.09.072,327252545,H14.09.072.TCx.01,477135275,5.2,10235,TCx,temporal neocortex,496100511,31979265,25.3,7.89,51.3,/api/v2/well_known_file_download/496233346,/api/v2/well_known_file_download/501029271,/api/v2/well_known_file_download/501029269,/api/v2/well_known_file_download/501089131,072,2.0
251,326765661,H14.09.074,327252564,H14.09.074.TCx.03,480148751,6.7,10235,TCx,temporal neocortex,496100564,35076440,27.7,6.44,50.9,/api/v2/well_known_file_download/496286830,/api/v2/well_known_file_download/501137028,/api/v2/well_known_file_download/501137026,/api/v2/well_known_file_download/501139289,074,2.0
259,326765663,H14.09.076,327252579,H14.09.076.TCx.01,480148767,7.0,10235,TCx,temporal neocortex,496100546,33492058,29.1,6.5,49.8,/api/v2/well_known_file_download/496292475,/api/v2/well_known_file_download/501181898,/api/v2/well_known_file_download/501181896,/api/v2/well_known_file_download/501182176,076,2.0
263,326765665,H14.09.078,327252591,H14.09.078.TCx.01,480148775,5.3,10235,TCx,temporal neocortex,496100556,33341976,25.6,6.21,50.8,/api/v2/well_known_file_download/496281016,/api/v2/well_known_file_download/501182051,/api/v2/well_known_file_download/501182049,/api/v2/well_known_file_download/501185699,078,2.0
266,326765666,H14.09.079,327252599,H14.09.079.TCx.01,480149031,6.3,10235,TCx,temporal neocortex,496100550,32365168,28.5,5.73,51.6,/api/v2/well_known_file_download/496720488,/api/v2/well_known_file_download/501122073,/api/v2/well_known_file_download/501122071,/api/v2/well_known_file_download/501125611,079,3.0
270,326765667,H14.09.080,327252608,H14.09.080.TCx.01,480149039,3.6,10235,TCx,temporal neocortex,496100555,36660706,21.5,7.03,57.4,/api/v2/well_known_file_download/496281054,/api/v2/well_known_file_download/501193693,/api/v2/well_known_file_download/501193691,/api/v2/well_known_file_download/501193774,080,2.0
274,326765668,H14.09.081,327252617,H14.09.081.TCx.01,480149047,7.1,10235,TCx,temporal neocortex,496100557,31838267,29.6,6.2,51.2,/api/v2/well_known_file_download/496281163,/api/v2/well_known_file_download/501181785,/api/v2/well_known_file_download/501181783,/api/v2/well_known_file_download/501181887,081,3.0
285,326765672,H14.09.085,327666493,H14.09.085.TCx.01,480149629,6.9,10235,TCx,temporal neocortex,496100593,36453749,28.9,7.93,49.7,/api/v2/well_known_file_download/496325344,/api/v2/well_known_file_download/501158424,/api/v2/well_known_file_download/501158422,/api/v2/well_known_file_download/501159643,085,3.0
320,326765681,H14.09.094,327252725,H14.09.094.TCx.01,480735346,8.1,10235,TCx,temporal neocortex,496100609,40408055,33.9,7.42,45.5,/api/v2/well_known_file_download/496326794,/api/v2/well_known_file_download/501169182,/api/v2/well_known_file_download/501169180,/api/v2/well_known_file_download/501169572,094,2.0
324,326765682,H14.09.095,327252735,H14.09.095.TCx.01,480735354,7.5,10235,TCx,temporal neocortex,496100633,42912490,30.0,7.83,46.7,/api/v2/well_known_file_download/496324834,/api/v2/well_known_file_download/501180498,/api/v2/well_known_file_download/501180496,/api/v2/well_known_file_download/501181918,095,3.0
328,326765683,H14.09.096,327252744,H14.09.096.TCx.01,480735362,6.3,10235,TCx,temporal neocortex,496100610,44645027,26.1,6.24,54.5,/api/v2/well_known_file_download/496895304,/api/v2/well_known_file_download/501177710,/api/v2/well_known_file_download/501177708,/api/v2/well_known_file_download/501181635,096,2.0
331,326765684,H14.09.097,327252752,H14.09.097.TCx.01,480735368,7.5,10235,TCx,temporal neocortex,496100627,43257930,30.3,6.52,49.2,/api/v2/well_known_file_download/496319822,/api/v2/well_known_file_download/501178277,/api/v2/well_known_file_download/501178275,/api/v2/well_known_file_download/501181800,097,3.0
346,326765688,H14.09.101,327252788,H14.09.101.TCx.01,480735312,6.7,10235,TCx,temporal neocortex,496100617,40160729,26.9,7.2,53.1,/api/v2/well_known_file_download/496316378,/api/v2/well_known_file_download/501169659,/api/v2/well_known_file_download/501169657,/api/v2/well_known_file_download/501169823,101,3.0
350,326765689,H14.09.102,327252797,H14.09.102.TCx.01,480735320,6.9,10235,TCx,temporal neocortex,496100639,35922605,34.7,9.15,43.9,/api/v2/well_known_file_download/496321194,/api/v2/well_known_file_download/501169787,/api/v2/well_known_file_download/501169785,/api/v2/well_known_file_download/501169945,102,2.0
354,467056391,H15.09.103,467179071,H15.09.103.TCx.01,482655826,7.6,10235,TCx,temporal neocortex,496100667,38881118,29.9,5.79,50.8,/api/v2/well_known_file_download/496552279,/api/v2/well_known_file_download/501472002,/api/v2/well_known_file_download/501472000,/api/v2/well_known_file_download/501473221,103,3.0
358,467056397,H15.09.104,467179080,H15.09.104.TCx.01,482655834,7.8,10235,TCx,temporal neocortex,496100647,41542365,32.5,6.21,48.4,/api/v2/well_known_file_download/496894346,/api/v2/well_known_file_download/501302535,/api/v2/well_known_file_download/501302533,/api/v2/well_known_file_download/501305016,104,2.0
360,467056405,H15.09.106,467179095,H15.09.106.TCx.01,482655846,7.1,10235,TCx,temporal neocortex,496100663,36795744,30.7,6.19,49.8,/api/v2/well_known_file_download/496588270,/api/v2/well_known_file_download/501258737,/api/v2/well_known_file_download/501258735,/api/v2/well_known_file_download/501262448,106,2.0
368,467056407,H15.09.108,467179113,H15.09.108.TCx.01,482655788,6.0,10235,TCx,temporal neocortex,496100643,35077570,25.5,6.34,55.4,/api/v2/well_known_file_download/496320800,/api/v2/well_known_file_download/501178020,/api/v2/well_known_file_download/501178018,/api/v2/well_known_file_download/501181709,108,2.0
